Nombre;Estilo;Cervecería;Nombre completo;Descripción;ABV;Min IBU;Max IBU;Astringencia;Cuerpo (Body);Alcohol;Amargo (Bitter);Dulce (Sweet);Agrio (Sour);Salado (Salty);Frutas (Fruits);Lupulado (Hoppy);Especias (Spices);Malta (Malty)
Over Ale;Brown Ale - American;Half Acre Beer Company;Half Acre Beer Company Over Ale;Notes:Originally brewed as an ESB, but is now brewed as an American Brown Ale.\t;6.0;25.0;45.0;17;66;6.0;59;56;10;0;12;80.0;4;113.0
Première (Red);Dubbel;Bières de Chimay S.A.;Bières de Chimay S.A. Chimay Première (Red);Notes:This copper-colored ale boasts flavors of apricots, brown sugar and nutmeg. Brewed since 1982, Chimay Première is the first beer ever produced by the Trappist monks of Notre-Dame de Scourmont Abbey in Belgium.\t;7.0;15.0;300.0;9;38;17.0;15;120;32;0;71;;39;81.0
Maudite;Dubbel;Unibroue;Unibroue Maudite;Notes:Without a doubt Unibroue’s best-known beer, La Maudite is inspired by abbey beers and Belgian double-style ales. It first hit the shelves in 1992 and took the province by storm with its 8% alcohol content, making it the first strong beer available in grocery stores.That’s where the idea came to tie its name and branding to a pact signed with the devil. The illustration of the “chasse-galerie” (or flying canoe) from a beloved Quebec legend captures the spirit of the beer.\t;8.0;15.0;30.0;12;29;16.0;10;56;23;0;46;12.0;27;59.0
Abbey Ale;Dubbel;Brewery Ommegang;Brewery Ommegang Ommegang (Abbey Ale);Notes:Abbey was Ommegang's first beer and was styled after Dubbels produced by Belgian Trappist monks. A deep, rich and malty ale, Abbey uses several Belgian specialty malts and spices resulting in a very aromatic, flavorful beer.Deep burgundy in color, topped by a dense tan head, Abbey Ale is rich on the palate but with a dry finish. Suitable for cellaring, Abbey develops wonderful caramel, fig, and currant notes with age.\t;8.2;15.0;30.0;12;38;;13;90;26;0;73;15.0;28;73.0
Westmalle Trappist Dubbel;Dubbel;Brouwerij Westmalle;Brouwerij Westmalle Westmalle Trappist Dubbel;Notes:Westmalle Dubbel (7%) is a dark red-brown beer with a rich, complex taste thanks to re-fermentation in the bottle. You pick up touches of caramel, malt and fruity esters reminiscent of ripe banana. The beer pearls beneath a covering of dense, cream-coloured froth. A lovely lace pattern forms on the inside of the glass once emptied. The long, dry finish of this balanced, mild Trappist beer will stay with you.Trappist or Dubbel?In 1865 the monks of Westmalle started brewing a dark Trappist beer in addition to their table beer. They adjusted the recipe in 1926, doubling the amounts of raw ingredients to produce a new, stronger beer. Dubbel is a logical name for this doubled beer, though it is more often simply called ‘Trappist’. To this day, the 1926 recipe is the basis for Westmalle Dubbel.Westmalle Dubbel: bottle and tapWe are all familiar with Westmalle Dubbel in 33 cl bottles. But around 150 carefully selected Belgian cafés and restaurants serve this beer on tap from barrels containing 20, 30 and 50 litres. In the barrel, this living beer evolves differently to emerge with a slightly sweeter taste.Westmalle Dubbel can also be purchased in 75 cl bottles. The beer matures in a different way in a larger bottle to produce a noticeably milder finish.\t;7.0;15.0;30.0;24;47;39.0;23;113;49;0;89;33.0;31;92.0
Trappistes Rochefort 6;Dubbel;Brasserie de Rochefort;Brasserie de Rochefort Trappistes Rochefort 6;Notes:;7.5;15.0;30.0;15;50;17.0;25;114;36;0;83;32.0;24;82.0
Prior 8;Dubbel;Brouwerij St. Bernardus NV;Brouwerij St. Bernardus NV St. Bernardus Prior 8;Notes:;8.0;15.0;30.0;16;33;14.0;27;96;30;1;75;15.0;17;84.0
Abbey;Dubbel;New Belgium Brewing;New Belgium Brewing Abbey Belgian Style Ale;Notes:Our award-winning Abbey stays true to tradition with an authentic Belgian yeast, six malts and a guarded recipe.\t;7.0;;30.0;12;47;160.0;25;103;37;1;86;31.0;24;85.0
Trappist Westvleteren 8 (VIII)Brouwerij Westvleteren (Sint-Sixtusabdij van Westvleteren);Dubbel;Brouwerij Westvleteren (Sint-Sixtusabdij van Westvleteren);Brouwerij Westvleteren (Sint-Sixtusabdij van Westvleteren) Trappist Westvleteren 8;Notes:(Blue Cap)\t;8.0;;30.0;15;54;23.0;37;115;25;0;77;48.0;22;75.0
Père Jacques;Dubbel;Goose Island Beer Co.;Goose Island Beer Co. Pere Jacques;Notes:Warm molasses color, dark fruit aroma, rich caramel flavor, rich soft body.26 IBU\t;8.7;15.0;30.0;8;44;180.0;22;106;20;0;67;13.0;15;79.0
Dubbel Ale;Dubbel;Allagash Brewing Company;Allagash Brewing Company Allagash Dubbel Ale;Notes:Allagash Dubbel boasts a deep red color and a complex malty taste. The finish is dry with subtle hints of chocolate and nuts. The yeast asserts itself by lending a classic Belgian fruitiness.\t;7.0;15.0;30.0;17;31;6.0;11;80;35;1;48;17.0;23;66.0
Pater 6;Dubbel;Brouwerij St. Bernardus NV;Brouwerij St. Bernardus NV St. Bernardus Pater 6;Notes:;6.7;15.0;30.0;20;46;23.0;15;84;30;1;62;7.0;22;
Corsendonk Pater / Abbey Brown Ale;Dubbel;Brouwerij Corsendonk;Brouwerij Corsendonk Corsendonk Pater / Abbey Brown Ale;Notes:;7.5;15.0;30.0;23;40;15.0;31;107;43;0;67;22.0;20;102.0
Grimbergen Dubbel;Dubbel;Brouwerij Alken-Maes;Brouwerij Alken-Maes Grimbergen Dubbel;Notes:;6.5;15.0;30.0;9;42;11.0;20;100;31;0;52;16.0;10;66.0
La Trappe Dubbel (Koningshoeven / Dominus);Dubbel;Bierbrouwerij De Koningshoeven B.V.;Bierbrouwerij De Koningshoeven B.V. La Trappe Dubbel (Koningshoeven / Dominus);Notes:La Trappe Dubbel has a deep brown colour and attractive beige froth. The use of caramel malt gives it a gentle aromatic caramelised quality. It has a rich malty flavour with a touch of sweetness. Post-fermenting La Trappe Dubbel is a smooth drink, and yet has some real body and intense flavour to it.\t;7.0;15.0;30.0;6;52;18.0;17;120;30;0;70;21.0;27;83.0
Trappist Achel 8° Bruin;Dubbel;Brouwerij der St. Benedictusabdij de Achelse;Brouwerij der St. Benedictusabdij de Achelse Trappist Achel 8° Bruin;Notes:;;15.0;30.0;17;36;29.0;20;97;44;0;70;19.0;24;
Lost & Found;Dubbel;The Lost Abbey;The Lost Abbey Lost & Found Abbey Ale;Notes:Modeled after the great Trappist and Monastic beers that inspired the founding of our brewery. A richly deep garnet colored ale created from a blend of Domestic and imported malts. As part of our commitment to interesting brewing endeavors, Chef Vince created a special raisin puree for this beer. Malts, raisins and a fantastic yeast strain working in harmony produce a beer of amazing complexity and depth.\t;8.0;15.0;30.0;11;42;;23;120;21;0;82;18.0;33;85.0
Abbey Dubbel;Dubbel;Flying Fish Brewing Company;Flying Fish Brewing Company Bourbon Barrel Abbey Dubbel;Notes:;7.2;15.0;30.0;5;41;13.0;20;95;14;0;49;13.0;18;65.0
Bornem Double;Dubbel;Brouwerij Van Steenberge N.V.;Brouwerij Van Steenberge N.V. Bornem Dubbel;Notes:;;15.0;30.0;10;44;15.0;19;100;25;0;56;15.0;22;72.0
Affligem Dubbel;Dubbel;Brouwerij De Smedt / Brouwerij Affligem;Brouwerij De Smedt / Brouwerij Affligem Affligem Dubbel;Notes:;6.8;15.0;300.0;9;30;12.0;17;60;29;0;38;14.0;17;39.0
Abbey Ale;Dubbel;Abita Brewing Co.;Abita Brewing Co. Abbey Ale;"Notes:Abbey Ale honors the ancient tradition of monks who perfected the art of brewing beer to support the monastery and their ""liquid bread"". We offer up our support and thank them with a 25¢ donation to St. Joseph's Abbey with every bottle sold of this heavenly brew. Dark amber in color, the aroma of caramel, fruits and cloves invites you to contemplate the creamy head of this ""Dubbel"" or double ale. Abita Abbey Ale is a malty brew, top-fermented and bottle aged to rapturous perfection.32 IBU\t";8.0;15.0;30.0;4;39;12.0;12;82;43;0;54;16.0;39;78.0
Resurrection;Dubbel;The Brewer's Art;The Brewer's Art Brewer's Art Resurrection;Notes:During the fermentation of the first batch of this Abbey-style dubbel, the yeast «died» and was «resurrected» by brewer Chris Cashell. Made with five types of barley malt and lots of sugar, this beer is quite strong and flavorful, without being too sweet. 7%abv\t;7.0;15.0;30.0;14;35;26.0;25;81;27;2;35;38.0;27;66.0
Brother David's Belgian-style Double Ale;Dubbel;Anderson Valley Brewing Company;Anderson Valley Brewing Company Brother David's Belgian-style Double Ale;Notes:Inspired by the classic Dubbels of Belgium, our Brother David’s Double has a dark brown body and aromas of warm cocoa, banana, and cloves. Specialty malts impart a toasted, nutty character and flavors of chocolate-covered cherries and candied fruits, while the subdued hop profile and Abbey yeast create spicy, herbal notes to compliment the warm, slightly sweet finish. Winner of a Gold Medal in the 2011 Great American Beer Festival™, Brother David’s Double is a truly complex and potent ale meant to be savored or shared with friends.\t;9.0;15.0;30.0;11;58;43.0;33;145;50;1;90;42.0;40;104.0
Brune;Dubbel;Brasserie de l'Abbaye du Val-Dieu;Brasserie de l'Abbaye du Val-Dieu Val-Dieu Brune;Notes:;8.0;15.0;30.0;9;48;28.0;26;109;38;0;47;20.0;16;80.0
St. Feuillien Brune;Dubbel;Brasserie St. Feuillien;Brasserie St. Feuillien St. Feuillien Brune;Notes:This brown ale has a marked ruby brown colour with a generous and lasting head. It has a distinctive aroma reflecting the wide range of ingredients used in its production. The fruitiness resulting from its fermentation blends harmoniously with a dominant liquorice and caramel flavour. The body is decidedly malty. The bitterness is the result of a complex alchemy between the fine hops and special malts used. These give St-Feuillien Brune a typical dark chocolate appearance. This beer creates an endless variety of sensations with a lingering taste and powerful aroma.\t;8.5;15.0;30.0;10;57;32.0;22;124;41;2;73;21.0;18;85.0
Siamese Twin Ale;Dubbel;Uncommon Brewers;Uncommon Brewers Siamese Twin Ale;Notes:;8.5;15.0;30.0;8;40;31.0;6;108;79;0;104;29.0;34;67.0
Benediction;Dubbel;Russian River Brewing Company;Russian River Brewing Company Benediction;Notes:Brown in color, Benediction has notes aromas and flavors of chocolate, tobacco, and spice. The finish is mildly malty with just enough bitterness from the hops.Original Gravity: 1.060\t;6.75;15.0;30.0;11;47;10.0;27;79;23;0;36;32.0;27;
Augustijn Donker Brune;Dubbel;Brouwerij Van Steenberge N.V.;Brouwerij Van Steenberge N.V. Augustijn Brune;Notes:;8.0;;30.0;9;66;27.0;24;149;45;0;87;31.0;42;109.0
St. Sebastiaan Dark;Dubbel;Brouwerij Sterkens N.V.;Brouwerij Sterkens N.V. St. Sebastiaan Dark;Notes:;6.9;15.0;30.0;13;53;24.0;16;108;38;1;82;28.0;16;82.0
Brugse Zot Dubbel;Dubbel;Brouwerij Straffe Hendrik / Huisbrouwerij De Halve Maan;Brouwerij Straffe Hendrik / Huisbrouwerij De Halve Maan Brugse Zot Dubbel;Notes:;7.5;15.0;30.0;14;39;15.0;28;108;42;0;58;33.0;21;79.0
Ovila Abbey Barrel Aged Dubbel;Dubbel;Sierra Nevada Brewing Co.;Sierra Nevada Brewing Co. Ovila Abbey Dubbel;Notes:This Abbey Dubbel was aged in a blend of red wine and bourbon barrels to add a new level of complexity to an already beguiling brew. Rich malt flavors of burnt sugar and caramel blend seamlessly with bright fruit notes from the wine barrels, while the bourbon oak lends a mellow hint of vanilla.\t;75.0;15.0;30.0;22;42;60.0;17;99;36;0;56;15.0;26;91.0
Solitude;Dubbel;Brewery Vivant;Brewery Vivant Solitude;Notes:;6.0;15.0;30.0;14;46;;18;129;72;0;96;;21;74.0
Big Bison Ale;Dubbel;Crown Valley Brewing & Distilling Co.;Crown Valley Brewing & Distilling Co. Big Bison Ale;"Notes:Great lengths were taken to ensure its authentic characteristics. German and Belgian malts, noble hops and a unique yeast strain are all necessary to produce this unique ale. It is aged for one month; beer that tends to please red wine drinkers and is definitely not for the novice beer drinker.23 IBU\t";6.9;15.0;30.0;13;48;25.0;18;97;29;0;53;20.0;9;76.0
St. Vincent's Dubbel;Dubbel;Captain Lawrence Brewing Co.;Captain Lawrence Brewing Co. St. Vincent's Dubbel;Notes:;8.0;15.0;30.0;20;65;32.0;13;95;66;0;67;25.0;30;97.0
Brother Joseph's Belgian Dubbel;Dubbel;Straight To Ale;Straight To Ale Brother Joseph's Belgian Dubbel;Notes:Maimed in an accident that left him with a hunched back, Brother Joseph Zoettl worked in the St. Bernard Abbey power plant shoveling coal. In his spare time, Brother Joseph used found objects such as marbles and chunks of concrete and tile to build miniature shrines and buildings on the Abbey grounds. Over 40 years, he created 125 different models and replicas. Today, the Ave Maria Grotto covers three acres and is world-renowned as both a fun roadside attraction and an awe-inspiring collection of folk art. We have named our Belgian dubbel after Brother Joseph as a testament to his perseverance, his hard work, and his indomitable spirit. A full-flavored abbey-style ale with a complex taste and aroma, Brother Joseph’s Dubbel is filled with specialty malt and dark fruit character.\t;8.0;15.0;30.0;10;29;14.0;17;96;25;0;63;24.0;21;66.0
Dark Abby;Dubbel;Devils Backbone Brewing Company;Devils Backbone Brewing Company Dark Abbey;Notes:Meet Abby, Azrael’s darker twin. This Belgian beauty is mysteriously alluring with a sultry flavor combination of brown sugar, plum and spices in a dark burgundy hue. Abby has a deep, rich flavor, and a serious strength but like her sister, hides behind a deceptively light fruity finish. On the surface she’s the sweetest girl you’ll ever meet, but one taste you’ll be trapped in her darkly alluring web.DARK ABBY FACTS:Alcohol by Volume: 7.5%Hop Bitterness (IBUs): 18Malts: Pilsner, Dark Munich, Honey, Dark CrystalHops: SaazSugar & Spice: Turbinado Sugar, Sorghum Syrup, Secret Spice Mix\t;7.5;15.0;30.0;12;32;31.0;16;103;35;0;76;19.0;28;58.0
St Martin Brune;Dubbel;Brasserie De Brunehaut;Brasserie De Brunehaut St Martin Brune;Notes:;8.0;15.0;30.0;11;50;26.0;20;105;41;0;64;;24;81.0
Dominus Vobiscum Double;Dubbel;Microbrasserie Charlevoix;Microbrasserie Charlevoix Dominus Vobiscum Double;Notes:;8.0;15.0;30.0;22;49;39.0;27;119;34;0;62;30.0;37;73.0
Evil 8° Belgian-Style Dubbel Ale;Dubbel;Blue Mountain Brewery;Blue Mountain Brewery Evil 8° Belgian-Style Dubbel Ale;Notes:;;15.0;30.0;5;54;;23;136;37;1;70;20.0;49;
Sterkens Dubbel Ale;Dubbel;Brouwerij Sterkens N.V.;Brouwerij Sterkens N.V. Sterkens Dubbel Ale;Notes:;6.9;15.0;30.0;8;55;31.0;16;133;36;0;81;32.0;22;80.0
Natte;Dubbel;Brouwerij 't IJ;Brouwerij 't IJ Natte;Notes:After the ‘Zatte’, this is the oldest beer from Brouwerij ‘t IJ. Natte is classed as a ‘dubbel’, a Belgian category of smooth, dark beers. Because we partly use dark malt, Natte has a reddish-brown colour and a smooth, roasted flavour with earthy tones of brown sugar, nuts and plums. Completed with slightly bitter hops, this is a nicely balanced beer and one of the brewery’s classics.\t;6.5;15.0;30.0;16;40;16.0;29;70;45;0;52;39.0;29;71.0
Green's Endeavour Dubbel Dark Ale;Dubbel;Green's Gluten Free Beers;Green's Gluten Free Beers Green's Endeavour;Notes:;;;30.0;13;42;13.0;13;120;55;0;76;27.0;16;64.0
90 Minute IPA;IPA - Imperial;Dogfish Head Brewery;Dogfish Head Brewery 90 Minute IPA;"Notes:Esquire Magazine calls our 90 Minute IPA ""perhaps the best IPA in America."" An imperial IPA best savored from a snifter, 90 Minute has a great malt backbone that stands up to the extreme hopping rate.90 Minute IPA was the first beer we continuously hopped, allowing for a pungent -- but not crushing -- hop flavor.90 IBU\t";9.0;65.0;100.0;3;15;13.0;44;40;31;1;36;56.0;5;
Pliny The Elder;IPA - Imperial;Russian River Brewing Company;Russian River Brewing Company Pliny The Elder;Notes:Pliny the Elder is brewed with Amarillo, Centennial, CTZ, and Simcoe hops. It is well-balanced with malt, hops, and alcohol, slightly bitter with a fresh hop aroma of floral, citrus, and pine. Best enjoyed FRESH! That is why we make it in such limited supply. Actual bottling date is printed on each bottle!\t;8.0;65.0;100.0;26;29;9.0;58;51;49;0;80;85.0;1;32.0
Lagunitas Sucks;IPA - Imperial;Lagunitas Brewing Company;Lagunitas Brewing Company Lagunitas Sucks Holiday Ale;Notes:This sad holiday season we didn’t have the brewing capacity to make our favorite seasonal brew, the widely feared BrownShugga’ Ale. You see we had a couple of really good years (thank you very much) and so heading into this season while we are awaiting the January delivery of a new brewhouse we are jammin’ along brewing 80 barrels of IPA and PILS and such every 3 hours. A couple of months back we realized that since we can only brew a mere 60 barrels of Shugga’ every 5 hours, that we were seriously screwed. For every case of Shugga’ brewed, we’d short 3 cases of our favorite daily beers. It’s a drag. This year, we brewed something that we think is also cool and brews more like our daily brews. The new brewhouse will help insure this kind of failure never happens again. It’s a mess that we can not brew our BrownShugga’ this year and we suck for not doing it. There is nothing cool about screwing this up this badly and we know it. Maybe we can sue our own sorry selves. There is no joy in our hearts this holiday and the best we can hope for is a quick and merciful end. F*@& us. This totally blows. Whatever. We freaking munch moldy donkey butt and we just want it to be all over... So this substitute beer is a ‘Cereal Medley’ of Barley, Rye, Wheat, and Oats…. Full of complexishness from the 4 grains, and weighing in at 7.85% abv, Then joyously dry-hopped for that big aroma and resinous hop flavor.\t;7.85;65.0;100.0;10;34;10.0;48;53;43;0;56;62.0;8;39.0
120 Minute IPA;IPA - Imperial;Dogfish Head Brewery;Dogfish Head Brewery 120 Minute IPA;Notes:Too extreme to be called beer? 120 Minute IPA is brewed to a colossal 45-degree plato, boiled for a full two hours while being continuously hopped with high-alpha American hops, then dry-hopped daily in the fermenter for a month and aged for another month on whole-leaf hops!120 IBUABV varies from 15-20%.\t;18.0;65.0;;9;43;50.0;55;89;42;3;58;;18;60.0
West Coast IPA;IPA - Imperial;Green Flash Brewing Co.;Green Flash Brewing Co. Green Flash West Coast I.P.A.;Notes:As craft beer pioneers, we embarked on an expedition to brew the benchmark West Coast IPA. We ventured into the unknown and struck gold, discovering a tantalizing menagerie of hops. Simcoe for tropical and grapefruit zest, Columbus for hop pungency, Centennial for pine notes, Citra for citrus zest and Cascade for floral aroma are layered throughout the brewing process. West Coast IPA® exemplifies the Green Flash spirit of adventure and discovery.95 IBUPrior to 2014 7.3% ABV2014 and later 8.1% ABV\t;8.1;65.0;;19;31;14.0;97;44;65;0;76;139.0;9;45.0
Hop Stoopid;IPA - Imperial;Lagunitas Brewing Company;Lagunitas Brewing Company Hop Stoopid;"Notes:Clean this mess up or else we'll all end up in jail...those test tubes and the scale...just get 'em all outta here..."" He was referring to the complex super-critical-CO2 hop extraction equipment set up on the table in the lab across from the brewhouse. Hop extracts are for the BIG brewers, he thought - suitable only for crummy sub-standard and barely-passable industrial lagers, not the subtle and elegant craft beer made here. But wrong he was. The New Brewer does not eschew any possible inputs. In this case the mountain of extracts will replace the mountain of hop vegetative material in the kettle thus creating cleaner hop flavors and preventing the otherwise spinach-like mess of a kettle full of super-hopped wort from clogging up a pump or worse. The sensuous honey-like amber ooze was administered intravenously to the wort kettle and the sacrament was complete. Another kettle of Hop Stoopid is once again raised up and fermented on high.\t";8.0;65.0;100.0;28;30;15.0;84;42;43;0;56;98.0;2;36.0
Double Jack;IPA - Imperial;Firestone Walker Brewing Co.;Firestone Walker Brewing Co. Double Jack;Notes:A dangerously drinkable Double IPA. Double Jack opens up with bright grapefruit and tangerine American hop aromas. Beautifully crafted undertones of stone fruit are revealed upon first sip, followed by the essence of blue basil and pine. A sturdy pale and crystal malt backbone brings balance to high hop intensity. Complex and aggressively hopped, and flawlessly balanced.\t;9.5;65.0;100.0;22;38;21.0;53;76;77;0;118;78.0;3;61.0
Burton Baton;IPA - Imperial;Dogfish Head Brewery;Dogfish Head Brewery Burton Baton;"Notes:This oak-aged gentle giant has been gaining popularity over the past few years and is now available year-round.For Burton Baton, we brew two ""threads,"" or batches, of beer: an English-style old ale and an imperial IPA.After fementating the beers separately in our stainless tanks, they're transferred and blended together in one of our large oak tanks. Burton Baton sits on the wood for about a month.When enjoying the Burton Baton, you'll find an awesome blend of the citrus notes from Northwestern hops melding with woody, vanilla notes from the oak. The wood also tends to mellow the 10% ABV of Burton, so tread cautiously!70 IBU\t";10.0;65.0;100.0;7;49;19.0;40;55;39;1;54;57.0;22;53.0
Double Trouble;IPA - Imperial;Founders Brewing Company;Founders Brewing Company Founders Double Trouble;Notes:An imperial IPA that was brewed to turn your world upside down. Hops will get you coming and going. Pungent aromatics up front pair with a malt-balanced backbone and a smooth, bitter finish.86 IBU\t;9.4;65.0;100.0;18;55;35.0;64;42;46;0;55;91.0;4;46.0
Hoptimum;IPA - Imperial;Sierra Nevada Brewing Co.;Sierra Nevada Brewing Co. Hoptimum Double IPA - Beer Camp #19;Notes:A whole-cone hurricane of flavor. Our brewers selected the finest, most flavorful hops, pushed them beyond their limits and forged them into this all-new triple IPA. This reimagined Hoptimum is our hoppiest beer yet, providing a blend of tropical and citrus hop aroma that delivers a refined yet aggressive character.IBU: 65YEAST: Ale yeastBITTERING HOPS: Crystal, EkuanotFINISHING HOPS: Strata, Simcoe, Citra, Mosaic, LoralMALTS: Two-row Pale, Wheat, Flaked Oats\t;10.6;65.0;;17;45;34.0;79;54;53;1;73;101.0;1;59.0
Dreadnaught IPA;IPA - Imperial;Three Floyds Brewing Co. & Brewpub;Three Floyds Brewing Co. & Brewpub Dreadnaught IPA;Notes:An Imperial India Pale Ale with an intense citrus hop aroma, a huge malt body and a crisp finish.100 IBU\t;9.5;65.0;100.0;18;40;21.0;45;51;62;2;93;59.0;0;46.0
Maharaja;IPA - Imperial;Avery Brewing Company;Avery Brewing Company Maharaja;Notes:Maharaja is derived from the sanskrit words mahat, meaning “great”, and rajan, meaning “king”. Much like its namesake, this imperial IPA is regal, intense and mighty. With hops and malts as his servants, he rules both with a heavy hand. The Maharaja flaunts his authority over a deranged amount of hops: tangy, vibrant and pungent along with an insane amount of malted barley – fashioning a dark amber hue and exquisite malt essence. Welcome to his kingdom!The Maharaja is the second installment in our Dictator Series.102 IBUsABV varies slightly batch to batch.\t;10.2;650.0;100.0;13;25;17.0;59;49;60;1;56;83.0;5;57.0
Maximus;IPA - Imperial;Lagunitas Brewing Company;Lagunitas Brewing Company Maximus;Notes:;8.2;;;23;36;29.0;62;82;57;0;99;88.0;2;47.0
Devil Dancer;IPA - Imperial;Founders Brewing Company;Founders Brewing Company Founders Devil Dancer;"Notes:Triple IPA. Dry-hopped for twenty-six days straight with a combination of 10 hop varieties. 112 actual IBU; although it calculates to over 200!\t";12.0;65.0;100.0;16;37;37.0;76;68;45;1;74;98.0;3;78.0
2XIPA;IPA - Imperial;Southern Tier Brewing Company;Southern Tier Brewing Company 2XIPA;Notes:;8.2;65.0;100.0;18;31;14.0;67;42;46;0;45;89.0;1;35.0
Abrasive Ale;IPA - Imperial;Surly Brewing Company;Surly Brewing Company Abrasive Ale;Notes:Hazy gold in color, this Oatmeal Double IPA has aggressive aromas of candied grapefruit/tangerine and tropical fruit. Malted oats greatly enhance the body and the high level of bitterness is balanced by this sweetness. Citra hops are used for aroma & flavor additions and for dry-hopping, while Warrior hops are used primarily for bitterness.OG 19.5 PlatoColor 5 SRMHops: Citra, WarriorYeast: English AleMalt: 2-row, Golden Naked OatsABV: 9%\t;9.2;65.0;100.0;23;34;16.0;78;73;69;0;111;103.0;7;47.0
Hercules Double IPA;IPA - Imperial;Great Divide Brewing Company;Great Divide Brewing Company Hercules Double IPA;Notes:Hercules Double IPA is not for the faint of heart. It is, however, fit for the gods. Hercules delivers a huge amount of hops from start to finish. Its hefty backbone of nutty, malty sweetness balances its aggressive hop profile.2007 Australian International Beer Awards, Gold Medal, Imperial IPA2008 Australian International Beer Awards, Silver Medal, Imperial IPA2009 Australian International Beer Awards, Silver Medal, Imperial IPA2010 BeerAdvocate “Top 100 Beers On Planet Earth,” #48\t;325.0;65.0;100.0;15;43;240.0;84;61;59;0;91;119.0;14;93.0
Perpetual IPA;IPA - Imperial;Tröegs Brewing Company;Tröegs Brewing Company Tröegs Perpetual IPA;Notes:At Tröegs, artisanal meets mechanical in a state of IPA we call Perpetual. Cycling through our HopBack vessel and dry-hopping method, this bold Imperial Pale Ale emerges rife with sticky citrus rind, pine balm and tropical fruit.\t;7.5;65.0;100.0;15;24;18.0;59;26;31;1;32;84.0;4;22.0
Pure Hoppiness;IPA - Imperial;Alpine Beer Company;Alpine Beer Company Pure Hoppiness;Notes:So mega-hopped it will take you to hop heaven. We’ve used hops in the boil, more hops in the giant hopback, and added to that, an incredible amount of dry-hopping for that cutting-edge “hop bite.” Once you’ve tasted this unique beer, all others pale in comparison. 1.072 OG Classified IBU\t;8.0;65.0;100.0;12;31;15.0;99;41;43;0;59;126.0;7;39.0
Arctic Panzer Wolf;IPA - Imperial;Three Floyds Brewing Co. & Brewpub;Three Floyds Brewing Co. & Brewpub Arctic Panzer Wolf;Notes:A massive IPA that will leave your palate its hapless victim. Scorched earth is our brewery policy.100 IBU\t;9.0;65.0;100.0;15;31;13.0;53;57;42;0;73;78.0;7;38.0
Pliny The Younger;IPA - Imperial;Russian River Brewing Company;Russian River Brewing Company Pliny The Younger;Notes:Pliny the Younger, the man, was Pliny the Elder’s nephew and adopted son. They lived nearly 2,000 years ago! Pliny the Elder is our Double IPA, so we felt it was fitting to name our Triple IPA after his son. It is almost a true Triple IPA with triple the amount of hops as a regular I.P.A. That said, it is extremely difficult, time and space consuming, and very expensive to make. And that is why we don’t make it more often! This beer is very full-bodied with tons of hop character in the nose and throughout. It is also deceptively well-balanced and smooth.\t;;65.0;100.0;23;46;14.0;73;29;40;0;49;106.0;4;19.0
Unearthly (Imperial India Pale Ale);IPA - Imperial;Southern Tier Brewing Company;Southern Tier Brewing Company Unearthly (Imperial India Pale Ale);Notes:;;65.0;100.0;17;46;23.0;61;64;51;1;74;100.0;10;50.0
A Little Sumpin' Extra! Ale;IPA - Imperial;Lagunitas Brewing Company;Lagunitas Brewing Company A Little Sumpin' Extra! Ale;Notes:;8.7;65.0;100.0;12;39;210.0;53;48;51;0;67;;3;40.0
Myrcenary Double IPA;IPA - Imperial;Odell Brewing Company;Odell Brewing Company Myrcenary Double IPA;Notes:Named for Myrcene, a component of essential oils in the hop flower, Myrcenary Double IPA is our tribute to those who revere the illustrious hop, and their unyielding exploit to craft hop forward beers. Brewed with a blend of hops containing the highest levels of Myrcene, this double IPA prevails with a tropical fruit-like flavor, a pungent floral aroma, and a clean getaway.70 IBUs\t;;65.0;100.0;9;50;30.0;56;37;42;0;71;97.0;1;25.0
Gubna;IPA - Imperial;Oskar Blues Grill & Brew;Oskar Blues Grill & Brew GUBNA Imperial IPA;Notes:Gubna was bred from Oskar Blues Brewery’s hankering to confront 100+ IBUs by cranking up the complexity of hops by pouring Cascade on top of copious amounts of Summit, then balancing that with a backbone of German Dark Munich Malt and Rye Malt. GUBNA’s post-fermentation dry-hopping with both hops allows this monstrosity to gently coax the citrus rind and grapefruit aroma while providing a rye malt-induced, spicy-yet-round middle, and a brisk, clean bitter finish (10 percent ABV, 100+ IBUs).\t;10.0;65.0;100.0;13;33;22.0;70;52;57;1;81;93.0;7;53.0
Dorado;IPA - Imperial;Ballast Point Brewing Company;Ballast Point Brewing Company Dorado Double IPA;Notes:;10.0;65.0;100.0;11;34;18.0;67;57;72;2;92;89.0;3;47.0
Double Crooked Tree IPA;IPA - Imperial;Dark Horse Brewing Company;Dark Horse Brewing Company Dark Horse Double Crooked Tree IPA;"Notes:Have you read the description for the regular Crooked Tree yet? Well this beer is almost the same just double the flavor and alcohol. We actually took the Crooked Tree recipe and doubled all of the ingredients except the water, just the way a DOUBLE should be made. Big hops balanced with tons of malt give this beer a huge body. Although this beer is as cool as ""The Fonz"" when first purchased, it gets really mellow and smooth with some age. After a year or two stored in a cool dark place you'll notice the heavy caramel and malt flavors are trying to sneak past the hops. This beer is hugely delicious so it will need your undivided attention (the chores can wait....trust us). 98 IBUs\t";12.0;65.0;100.0;9;42;42.0;54;58;24;0;33;65.0;6;74.0
